key,en,fr,fr_CA,fr_FR,da,ru,sv,de,es,pt
Card.entryTotal,Entry Total,Total décl.,,,Start Total,Заявленная сумма,Ingång total,Meldung Gesamt,Total de Entrada,Entrada Total
Card.group,Group,Groupe,,,Gruppe,Поток,Grupp,Gruppe,Grupo,Grupo
Card.lotNumber,Lot,Tirage,,,Lodt. Nummer,Жребий,Lott,Losnummer,Nº aleatorio,Sorteio
Card.name,Name,Nom,,,Navn,"Фамилия, Имя",Namn,Name,Nombre,Nome
Card.snatch,Snatch,Arraché,,,Træk,Рывок,Ryck,Reissen,Arr.,Arranco
Card.startingWeight,Starting Weight,Poids de départ,,,Startvægt,Стартовый вес,Start vikt,Anfangslast,Peso inicial,Peso Inicial
Card.startNumber,Start #,# Départ,,,Startnummer,Стартовый номер,Start #,Startnr.,Nº inicio,Iniciar #
Card.total,Total,Total,,,Tokamp,Сумма,Total,Gesamt,Total,Total
Category,Category,Catégorie,,,Vægtklasse,Категория,Klass,Gewichtsklasse,Categoría,Categoria
Category_no_match_body_weight,Category does not match body weight.,La catégorie ne correspond pas au poids corporel.,,,Vægtklasse matcher ikke med kropsvægt,Категория не соответствует весу спортсмена,Klassen matchar inte kroppsvikt.,Gewichtsklasse passt nicht zum Körpergewicht,La categoría no coincide con el peso corporal.,Categoria não coincide com o peso corporal.
Category_no_match_gender,Category does not match gender.,La catégorie ne correspond pas au genre.,,,Vægtklasse matcher ikke med køn,Категория не соответствует полу спортсмена,Klassen matchar inte kön,Gewichtsklasse passt nicht zum Geschlecht,La categoría no coincide con el género.,A Categoria não Corresponde ao Gênero.
Cell,Cell,Cellule,,,Celle,Ячейка,Cell,Zelle,Cell,Célula
Change_1,Change 1,Changement 1,,,1. ændring,Перезаявка 1,Ändring 1,Steigerung 1,Cambio 1,1ª Mudança
Change_2,Change 2,Changement 2,,,2. ændring,Перезаявка 2,Ändring 2,Steigerung 2,Cambio 2,2ª Mudança
ChangesGroupEverywhere,This changes the current group for all displays and screens associated with the platform,Ceci change le groupe courant sur tous les écrans et affichages associés à ce plateau,,,Dette ændrer nuværende gruppe for alle displays og skærme tilknyttet platformen,Изменение потока применится для всех экранов связанных с помостом<br>,Detta ändrar den aktuella gruppen för alla skärmar och skärmar associerade med plattformen,Das ändert die Gruppe auf allen Bildschirmen und Anzeigen für diese Bohle,Esto cambia el grupo actual para todas las pantallas y pantallas asociadas con la plataforma,Isso mudará o grupo atual para todos os monitores e telas associadas com a plataforma
Clean_and_Jerk,Clean&Jerk,Épaulé-jeté,,,Stød,Толчок,Stöt,Stossen,Envión,Arremesso
Clean_and_Jerk_Declaration,Clean&Jerk Declaration,Déclaration É.-J.,,,Stød deklareret,Начальный вес в толчке,Angiven stöt,Stossen Meldung,Declaración del Envión,Arremesso Declarado
Clean_and_Jerk_Rank,Clean&Jerk Rank,Rang É.-J.,,,Stød rang,Место (Т),Angiven rank,Stossen Platzierung,Clasificación del Envión,Arremesso Ranking
Clean_and_Jerk_short,C.&J.,É.-J.,,,Stød,Т.,Stöt,St.,Envión,Arremesso
ClearLifts,Clear Lifts,Effacer les levers,,,Slet løft,Сброс попыток,Rensa lyft,Lösche Hebungen,Limpiar alzadas,Limpar Resultados
ClearLifts_forListed,Clear Lifts for Athletes Currently Listed,Effacer les levers des athlètes sélectionnés,,,Slet løft for valgte atleter,Сброс перечисленных попыток,Rensa lyft för listade atleter,Lösche Hebungen für angezeigte Athleten,Limpiar Resultados Para Atletas Atualmente Listados,Limpar Resultados Para Atletas Atualmente Listados
ClearStartNumbers,Clear Start Numbers,Vider Nº départ,,,Ryd Start Nummer,Очистить стартовые номера,Rensa startnummer,Lösche Startnummern,Limpiar números de Inicio,Limpar Números Iniciais
Collar,Collar,Collet,,Bagues,Lås,Замок,Klov,Verschluss,Collarin,Presilha
Competition,Competition,Compétition,,,Stævne,Соревнование,Tävling,Wettkampf,Competición,Competição
Competition.competitionCity,City,Ville,,,By,Город проведения соревнования,Stad,Stadt,Ciudad,Cidade
Competition.competitionDate,Date,Date,,,Dato,Дата проведения соревнования,Datum,Datum,Fecha,Data
Competition.competitionName,Name,Nom,,,Navn,Название соревнования,Namn,Name,Nombre,Nome
Competition.competitionOrganizer,Organizer,Organisateur,,,Arrangør,Организатор соревнования,Arrangör,Veranstalter,Organizador,Organizador
Competition.competitionSite,Site,Site,,,Lokalitet,Место проведения соревнования,Webbplats,Veranstaltungsort,Lugar,Local
Competition.defaultFederation,\u0020,\u0020,Fédération d'haltérophilie du Québec,Fédération Française d'Haltérophilie,Dansk Vægtløftnings-Forbund,\u0020,Svenska tyngdlyftningsförbundet,\u0020,Federacion Salvadoreña de Levantamiento de Pesas,\u0020
Competition.defaultFederationAddress,\u0020,\u0020,"C.P. 1000, Succ. M, Montréal, QC, H1V 3R2","7 Rue Roland Martin, 94500 Champigny-sur-Marne","Idrættens Hus, Brøndby Stadion 20, 2605 Brøndby",\u0020,"Karlsgatan 28, 703 41 Örebro",\u0020,\u0020,\u0020
Competition.defaultFederationEMail,\u0020,\u0020,admin@fedhaltero.qc.ca,contact@ffhaltero.fr,kontor@danskvaegtloeftning.dk,\u0020,office@tyngdlyftning.org,\u0020,fedepesas@gmail.com,cblp@cblp.org.br
Competition.defaultFederationWebSite,\u0020,\u0020,www.fedhaltero.qc.ca,www.ffhaltero.fr,www.weightlifting.dk,\u0020,http://www.tyngdlyftning.com/,\u0020,\u0020,http://www.cblp.org.br/
Competition.defaultLocale,Display and printout language,Langue d'affichage et d'impression,,,Display og printout sprog,Язык отображения и печати,Visa och skriv ut språk,Sprache für Anzeigen und Druckausgabe,Mostrar e Imprimir Idioma,Idioma de exibição e impressão
Competition.enforce20kgRule,Apply initial total weight rule (IWF §6.6.5/Masters §2.4)?,Appliquer la règle de poids total initial (IWF §6.6.5/Masters §2.4)?,,,Anvend indledende tokampsvægtregel (IWF §6.6.5/Masters §2.4)?,Применить «правило 20 кг» (IWF §6.6.5/Masters §2.4)?,Tillämpa totalviktsregeln (IWF ¬ß6.6.5/Masters ¬ß2.4)?,Standard Gewichtsklassen Reglung übernehmen (IWF 6.6.5/Masters 2.4)?,Aplicar regla de peso total inicial (IWF §6.6.5/Masters §2.4)?,Aplicar a Regra de Peso Total Inicial (IWF §6.6.5 / Master §2.4)?
Competition.federation,Federation Name,Nom de la fédération,,,Forbundsnavn,Название федерации,Förbundets namn,Verbandsname,Nombre de la federación,Nome da Federação
Competition.federationAddress,Federation Address,Adresse de la fédération,,,Forbundsadresse,Адрес федерации,Förbundets adress,Verbandsadresse,,Endereço da Federação
Competition.federationEMail,Federation e-mail,Courriel de la fédération,,,Forbunds e-mail,Электронная почта федерации,Förbundets mail,Verbands-Email,E-mail de la Federación,E-mail da Federação
Competition.federationWebSite,Federation Web Site,Site web de la fédération,,,Forbunds Web Site,Веб-сайт федерации,Förbundets hemsida,Verbandswebseite,Sitio Web de la Federación,Site da Federação
Competition.invitedIfBornBefore,Invited if born before,Invité si né avant,,,For løftere født før,Приглашен если дата рождения ранее,Inbjuden om född före,Eingeladen wenn geboren vor,Invitado si es nacido antes de,Convidado se tiver nascido antes
Competition.logo,Logo,Logo,,,Logo,Логотип,Logga,Logo,Logo,Logotipo
Competition.masters,Masters,Masters,,,Masters,Ветераны (Возрастное разделение),Masters,Masters,Masters,Masters
Competition.protocolFileName,Protocol Sheet Template,Gabarit pour feuille de résultats,,,Protokol Skabelon,Шаблон рабочего протокола,Protokollmall,Vorlage Protokoll,Plantilla de protocolo,Modelo de folha de protocolo
Competition.resultTemplateFileName,Competition Book Template,Gabarit pour cahier de compétition,,,Competition Book Skabelon,Шаблон итогового протокола,Tävlingsbok mall,Vorlage Wettkampfbuch,Plantilla de Libro de Competición,Modelo do livro de Competição
Competition.useBirthYear,Use Birth Year Only,Utiliser l'année de naissance seulement,,,Anvend kun fødselsår,Использовать только год рождения,Använd endast födelseår,Nur Geburtsjahr benutzen,Usar solo año de Nacimiento,Usar Apenas o Ano do Nascimento
CompetitionBook.C,Competition,Compétition,,,Stævne,Итоговый протокол,Tävling,Wettkampf,Competición,Competição
CompetitionBook.C_LeftHeader,Competition Information,Informations sur la compétition,,,Stævneinformation,Информация о соревнованиях,Tävlings information,Wettkampf Info,Información de la Competición,Informações Sobre a Competição
CompetitionBook.C_RightHeader,\u0020,\u0020,,,\u0020,\u0020,\u0020,\u0020,\u0020,\u0020
CompetitionBook.M6,Men's Results,Hommes 6 essais,,,Resultater Mænd,"Результаты, мужчины",Resultat herrar,Ergebnisse männlich,Resultados Masculino,Resultado Masculino
CompetitionBook.M6_LeftHeader,Category Ranking,Classement par catégories,Classement par catégories - Category Ranking,,Vægtklasse Placering,Место в категории,Klass rankning,Platzierung Gewichtsklassen,Clasificación por Categorías,Classificação da Categoria
CompetitionBook.M6_LeftHeader,Competition,Compétition,,,Stævne,Соревнования,Tävling,Wettkampf,Competición,Competição
CompetitionBook.M6_RightHeader,Men,Hommes,Hommes - Men,,Mænd,Мужчины,Herrar,männlich,Masculino,Masculino
CompetitionBook.MCT,Men - Combined Score,Hommes - Pointage Combiné,,,Mænd - Kombineret Score,Мужчины - Комбинированные очки,Herrar - Kombinerad poäng,männlich - Berechnete Ergebnisse,Puntaje combinado - Hombres,Pontuação Masculina Combinada
CompetitionBook.MCT_LeftHeader,Team Ranking (Snatch+CJ+Total),Classement par équipes (Arr.+É.J.+Total),Classement par équipes (Arr.+É.J.+Total) - Team Ranking (Total),,Hold Placering (Træk+Stød+Tokamp),Командный рейтинг (Рывок+Толчок+Сумма),Förenings Rankning (Ryck+Stöt+Total),Platzierung Verein (Reissen+Stossen+Gesamt),Clasificación por equipos (Arr+Env+Total),Classificação das Equipes (Arranco + Arremesso + Total)
CompetitionBook.MR,Men's Robi,Hommes Robi,,,Robi Mænd,"Роби, мужчины",Herrar Robi,männlich Robi,Robi Masculino,Robi Masculino
CompetitionBook.MR_LeftHeader,Robi Ranking,Classement Robi - Robi Ranking,,,Robi Placering,Рейтинг Роби,Robi anking,Platzierung Robi,Clasificación Robi,Classificação Robi
CompetitionBook.MS,Men's Sinclair,Hommes Sinclair,,,Sinclair Mænd,"Синклер, мужчины",Herrar Sinclair,männlich Sinclair,Sinclair Masculino,Sinclair Masculino
CompetitionBook.MS_LeftHeader,Sinclair  Ranking,Classement Sinclair,Classement Sinclair - Sinclair Ranking,,Sinclair Placering,Рейтинг Синклер,SinclairRank,Platzierung Sinclair,Clasificación Sinclair,Classificação Sinclair
CompetitionBook.MT,Men's Total Score,Hommes Pointage Total,,,Total Score Mænd,Мужчины - итоговые очки,Herrar total poäng,männlich Gesamtwertung,Puntos Total Masculino,Pontuação Total Masculino
CompetitionBook.MT_LeftHeader,Team Ranking (Total),Classement par équipes (Total),Classement par équipes (Total) - Team Ranking (Total),,Hold Placering (Total),Командный рейтинг (сумма),Förenings rank (Total),Platzierung Verein (Gesamt),Clasificación por equipos (Total),Classificação Por Equipe (Total)
CompetitionBook.MT_RightHeader,Men,Hommes,Hommes - Men,,Mænd,Мужчины,Herrar,männlich,Masculino,Masculino
CompetitionBook.MWCT,Men&Women - Combined Score,Hommes et Femmes - Pointage Combiné,,,Mænd&Kvinder - Kombineret Score,М+Ж комбинированные очки,Herrar & Damer - Kombinerad poäng,männlich und weiblich - Berechnetes Ergebnis,Masculino y Femenino - Puntuación Combinada,Masculino e Feminino - Pontuação Combinada
CompetitionBook.MWCT_LeftHeader,Team Ranking (Snatch+CJ+Total),Classement par équipes (Arr.+É.J.+Total),,,Hold Placering (Træk+Stød+Tokamp),Командный рейтинг (Рывок+Толчок+Сумма),Förenings Rankning (Ryck+Stöt+Total),Platzierung Verein (Gesamt),Clasificación por equipos (Arr+Env+Total),Classificação das Equipes (Arranco + Arremesso + Total)
CompetitionBook.MWCT_RightHeader,Women,Femmes,,,Kvinder,Женщины,Damer,weiblich,Femenino,Mulheres
CompetitionBook.MWT,M+W Total Score,M+F Pointage Total,,,M+K Total Score,М+Ж Итоговые очки,H+D total poäng,M+W Gesamtwertung,M+F Puntuación Total,Pontuação M + F Total
CompetitionBook.MWT_LeftHeader,Team Ranking (Total),Classement par équipes (Total),Classement par équipes (Total) - Team Ranking (Total),,Hold Placering (Total),Командный рейтинг (сумма),Förenings rankning (Total),Platzierung Verein (Gesamt),Clasificación por Equipos (Total),Classificação Por Equipe (Total)
CompetitionBook.MWT_RightHeader,Men and Women,Hommes et Femmes,Hommes et Femmes - Men and Women,,Mænd og Kvinder,Мужчины и женщины,Herrar och Damer,männlich und weiblich,Masculino y Femenino,Masculino e Feminino
CompetitionBook.MXT,Men's Custom Score,Hommes Pointage Spécial,,,Mænd Speciel Score,Мужчины - Пользовательские очки,Herrar anpassad poäng,männlich benutzerdefiniertes Ergebnis,Puntuación Masculina Personalizada,Pontuação Masculina Personalizada
CompetitionBook.MXT_LeftHeader,Team  Ranking (Custom),Classement par équipes (Spécial),Classement par équipes (Spécial) - Team Ranking (Custom),,Hold Placering (Speciel),Командный рейтинг(пользовательский),Förenings rankning (Anpassad),Platzierung Verein (benutzerdefiniert),Clasificación por Equipos (Personalizada),Classificação por Equipe (personalizada)
CompetitionBook.MXT_RightHeader,Men,Hommes,Hommes - Men,,Mænd,Мужчины,Herrar,männlich,Masculino,Masculino
CompetitionBook.W6,Women's Results,Femmes 6 essais,,,Resultater Kvinder,"Результаты, женщины",Dammer Reslutat,Ergebnisse weiblich,Clasificación Femenina,Resultado Feminino
CompetitionBook.W6_RightHeader,Women,Femmes,Femmes - Women,,Kvinder,Женщины,Damer,weiblich,Femenino,Feminino
CompetitionBook.WCT,Women - Combined Score,Femmes - Pointage Combiné,,,Kvinder - Combined Score,Женщины - комбинированные очки,Damer kombinerad poäng,weiblich – berechnete Ergebnisse,Femenino - Puntuación Combinada,Feminino - Pontuação Combinada
CompetitionBook.WCT_LeftHeader,Team Ranking (Snatch+CJ+Total),Classement par équipes (Arr.+É.J.+Total),Classement par équipes (Arr.+É.J.+Total) - Team Ranking (Snatch+CJ+Total),,Hold Placering (Træk+Stød+Tokamp),Командный рейтинг (Рывок+Толчок+Сумма),Förenings Rankning (Ryck+Stöt+Total),Platzierung Verein (Reissen+Stossen+Gesamt),Clasificaciónn por Equipos (Arr+Env+Total),Classificação das Equipes (Arranco + Arremesso + Total)
CompetitionBook.WCT_RightHeader,Women,Femmes,Femmes - Women,Femmes,Kvinder,Женщины,Damer,weiblich,Femenino,Feminino
CompetitionBook.WR,Women's Robi,Femmes Robi,,,Robi Kvinder,"Роби, женщины",Dammer Robi,weiblich robi,Robi Femenino,Robi Feminino
CompetitionBook.WR_RightHeader,Women,Femmes,Femmes - Women,,Kvinder,Женщины,Damer,weiblich,Femenino,Feminino
CompetitionBook.WS,Women's Sinclair,Femmes Sinclair,,,Sinclair Kvinder,"Синклер, женщины",Sinclair Damer,weiblich Sinclair,Sinclair Femenino,Sinclair Feminino
CompetitionBook.WS_LeftHeader,Sinclair  Ranking,Classement Sinclair,Classement Sinclair - Sinclair Ranking,,Sinclair Placering,Рейтинг Синклер,Sinclair  Rankning,Platzierung Sinclair,Clasificación Sinclair,Classificação Sinclair
CompetitionBook.WS_RightHeader,Women,Femmes,Femmes - Women,,Kvinder,Женщины,Damer,weiblich,Femenino,Feminino
CompetitionBook.WT,Women - Total Score,Femmes - Pointage Total,,,Kvinder - Total Score,Женщины - итоговые очки,Dammer total poäng,weiblich - Gesamtergebnis,Femenino - Puntuación Total,Feminino - Pontuação Total
CompetitionBook.WT_LeftHeader,Team Ranking (Total),Classement par équipes (Total),Classement par équipes (Total) - Team Ranking (Total),,Hold Placering (Total),Командный рейтинг (сумма),Förenings rankning (Total),Platzierung Verein (Gesamt),Clasificación por equipos (Total),Classificação Por Equipe (Total)
CompetitionBook.WT_RightHeader,Women,Femmes,Femmes - Women,,Kvinder,Женщины,Damer,weiblich,Femenino,Feminino
CompetitionBook.WXT,Women - Custom Score,Femmes - Pointage Spécial,,,Kvinder - Speciel Score,Женщины - Пользовательские очки,Damer anpassad poäng,weiblich – benutzerdefiniertes Ergebnis,Femenino - Puntuación Personalizada,Feminino - Pontuação Personalizada
